probe_id	path	profile	previous_runtime_class	current_runtime_class	previous_projection	current_projection	transition	fixture_comparable	complete_literal_equal	universe	measurement_ref	previous_measurement_ref
p1307.construct.None	p1307.construct.None	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.None
p1307.construct.None	p1307.construct.None	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.None
p1307.construct.None	p1307.construct.None	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.None
p1307.construct.None	p1307.construct.None	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.None
p1307.json.value.None	p1307.json.value.None	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.None
p1307.json.value.None	p1307.json.value.None	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.None
p1307.json.value.None	p1307.json.value.None	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.None
p1307.json.value.None	p1307.json.value.None	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.None
p1307.toml.value.None	p1307.toml.value.None	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.None
p1307.toml.value.None	p1307.toml.value.None	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.None
p1307.toml.value.None	p1307.toml.value.None	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.None
p1307.toml.value.None	p1307.toml.value.None	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.None
p1307.yaml.value.None	p1307.yaml.value.None	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.None
p1307.yaml.value.None	p1307.yaml.value.None	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.None
p1307.yaml.value.None	p1307.yaml.value.None	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.None
p1307.yaml.value.None	p1307.yaml.value.None	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.None	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.None
p1307.construct.Bool	p1307.construct.Bool	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Bool
p1307.construct.Bool	p1307.construct.Bool	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Bool
p1307.construct.Bool	p1307.construct.Bool	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Bool
p1307.construct.Bool	p1307.construct.Bool	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Bool
p1307.json.value.Bool	p1307.json.value.Bool	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Bool
p1307.json.value.Bool	p1307.json.value.Bool	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Bool
p1307.json.value.Bool	p1307.json.value.Bool	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Bool
p1307.json.value.Bool	p1307.json.value.Bool	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Bool
p1307.toml.value.Bool	p1307.toml.value.Bool	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Bool
p1307.toml.value.Bool	p1307.toml.value.Bool	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Bool
p1307.toml.value.Bool	p1307.toml.value.Bool	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Bool
p1307.toml.value.Bool	p1307.toml.value.Bool	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Bool
p1307.yaml.value.Bool	p1307.yaml.value.Bool	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Bool
p1307.yaml.value.Bool	p1307.yaml.value.Bool	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Bool
p1307.yaml.value.Bool	p1307.yaml.value.Bool	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Bool
p1307.yaml.value.Bool	p1307.yaml.value.Bool	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Bool	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Bool
p1307.construct.Int	p1307.construct.Int	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Int
p1307.construct.Int	p1307.construct.Int	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Int
p1307.construct.Int	p1307.construct.Int	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Int
p1307.construct.Int	p1307.construct.Int	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Int
p1307.json.value.Int	p1307.json.value.Int	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Int
p1307.json.value.Int	p1307.json.value.Int	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Int
p1307.json.value.Int	p1307.json.value.Int	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Int
p1307.json.value.Int	p1307.json.value.Int	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Int
p1307.toml.value.Int	p1307.toml.value.Int	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Int
p1307.toml.value.Int	p1307.toml.value.Int	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Int
p1307.toml.value.Int	p1307.toml.value.Int	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Int
p1307.toml.value.Int	p1307.toml.value.Int	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Int
p1307.yaml.value.Int	p1307.yaml.value.Int	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Int
p1307.yaml.value.Int	p1307.yaml.value.Int	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Int
p1307.yaml.value.Int	p1307.yaml.value.Int	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Int
p1307.yaml.value.Int	p1307.yaml.value.Int	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Int	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Int
p1307.construct.Float	p1307.construct.Float	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Float
p1307.construct.Float	p1307.construct.Float	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Float
p1307.construct.Float	p1307.construct.Float	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Float
p1307.construct.Float	p1307.construct.Float	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Float
p1307.json.value.Float	p1307.json.value.Float	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Float
p1307.json.value.Float	p1307.json.value.Float	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Float
p1307.json.value.Float	p1307.json.value.Float	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Float
p1307.json.value.Float	p1307.json.value.Float	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Float
p1307.toml.value.Float	p1307.toml.value.Float	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Float
p1307.toml.value.Float	p1307.toml.value.Float	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Float
p1307.toml.value.Float	p1307.toml.value.Float	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Float
p1307.toml.value.Float	p1307.toml.value.Float	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Float
p1307.yaml.value.Float	p1307.yaml.value.Float	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Float
p1307.yaml.value.Float	p1307.yaml.value.Float	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Float
p1307.yaml.value.Float	p1307.yaml.value.Float	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Float
p1307.yaml.value.Float	p1307.yaml.value.Float	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Float	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Float
p1307.construct.Str	p1307.construct.Str	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Str
p1307.construct.Str	p1307.construct.Str	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Str
p1307.construct.Str	p1307.construct.Str	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Str
p1307.construct.Str	p1307.construct.Str	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Str
p1307.json.value.Str	p1307.json.value.Str	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Str
p1307.json.value.Str	p1307.json.value.Str	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Str
p1307.json.value.Str	p1307.json.value.Str	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Str
p1307.json.value.Str	p1307.json.value.Str	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.json.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Str
p1307.toml.value.Str	p1307.toml.value.Str	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Str
p1307.toml.value.Str	p1307.toml.value.Str	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Str
p1307.toml.value.Str	p1307.toml.value.Str	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Str
p1307.toml.value.Str	p1307.toml.value.Str	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.toml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Str
p1307.yaml.value.Str	p1307.yaml.value.Str	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Str
p1307.yaml.value.Str	p1307.yaml.value.Str	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Str
p1307.yaml.value.Str	p1307.yaml.value.Str	a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Str
p1307.yaml.value.Str	p1307.yaml.value.Str	html+a11y	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.yaml.value.Str	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Str
p1307.construct.Array	p1307.construct.Array	default	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Array	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Array
p1307.construct.Array	p1307.construct.Array	html	MATCH_VALUE	MATCH_VALUE	Preserved	Preserved	UNCHANGED_COMPLETE_CHANNELS	true	true	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1307.construct.Array	00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Array
